0 15
1 14
2 13
3 12
4 11
5 10
6 9
7 8
8 7
9 6
10 5
11 4
12 3
13 2
14 1
15 0
16 31
17 30
18 29
19 28
20 27
21 26
22 25
23 24
24 23
25 22
26 21
27 20
28 19
29 18
30 17
31 16
32 47
33 46
34 45
35 44
36 43
37 42
38 41
39 40
40 39
41 38
42 37
43 36
44 35
45 34
46 33
47 32
48 63
49 62
50 61
51 60
52 59
53 58
54 57
55 56
56 55
57 54
58 53
59 52
60 51
61 50
62 49
63 48
64 64
65 65
66 66
67 67
68 68
69 69
70 70
71 71
72 72
73 73
74 74
75 75
76 76
77 77
78 78
79 79
80 80
81 81
82 82
83 83
84 84
85 85
86 86
87 87
88 88
89 89
90 90
91 91
92 92
93 93
94 94
95 95
